,Borough,Neighborhood,ID,Name
75,Brooklyn,Kensington,4a948ca2f964a520f72120e3,Mr. Tong
76,Brooklyn,Kensington,4db4863ccda1c57c825d83c8,Family Garden Chinese Take-Out
77,Brooklyn,Windsor Terrace,54e39b14498e9c646b42958e,East Wind Snack Shop
78,Brooklyn,Windsor Terrace,4a948ca2f964a520f72120e3,Mr. Tong
79,Brooklyn,Brownsville,4ec4ad6482313b6730005154,Golden Lotus Chinese Restaurant
80,Brooklyn,Williamsburg,54b318a1498eb29e9541053a,Wei Williamsburg
81,Brooklyn,Williamsburg,58df00318cfe546addb99246,Birds of a Feather
82,Brooklyn,Bedford Stuyvesant,4bfec075369476b04fcc8c1f,Wing Cheong
83,Brooklyn,Bedford Stuyvesant,4c1971edfe5a76b073ae0315,New Hardee Chinese Restaurant
84,Brooklyn,Bedford Stuyvesant,4c118094a9420f4765e97c51,Lucky House Kitchen (Sue's)
85,Brooklyn,Brooklyn Heights,5db3649a8d15ba00089b4e9b,Xi'an Famous Foods
86,Brooklyn,Red Hook,4cd9eb02847da1cdae76029a,New Lin's Garden Kitchen
87,Brooklyn,Cypress Hills,4f326c1a19836c91c7d64648,Wo Hop Chinese Restaurant
88,Brooklyn,Cypress Hills,4e4cddf7bd413c4cc66cce26,Foo Shun Chinese Restaurant
89,Brooklyn,East New York,4cd4dd3e67adf04d8b102a91,Lee Good Taste
90,Brooklyn,East New York,4dd9d62dd1647fcf3e85255e,Chung Wah Chinese Food
91,Brooklyn,East New York,4ec699aee30071991400cdf8,Happy Garden Chinese Food
92,Brooklyn,Starrett City,4d62d5dfe4fe5481b6cd9a9e,Chen's Garden
93,Brooklyn,Starrett City,5510a863498e5b4305870699,New Shun Hing Restaurant
94,Brooklyn,Canarsie,4f7507a7e4b07eec1fdb7e04,Lucky Chen
95,Brooklyn,Flatlands,4c8d0e7355fba093abe164ab,K1 Buffet
96,Brooklyn,Flatlands,4c71de9b8efc370408c1117d,Man Do
97,Brooklyn,Coney Island,4bedc857e24d20a17afc7114,Oriental Palace
98,Brooklyn,Coney Island,513e54a8e4b06e39e01486bb,Panda Restaurant
99,Brooklyn,Bath Beach,4bdcc1043904a593ba9e4f9e,New Ruans
100,Brooklyn,Bath Beach,4b9301d7f964a5204c2e34e3,Fu Kee Restaurant 富記
101,Brooklyn,Bath Beach,54ce8283498ea0f009041f78,Charisma Bay
102,Brooklyn,Bath Beach,4d991e93af3d236a43f24cc7,Happy Seafood Restaurant
103,Brooklyn,Borough Park,4a4ab3bff964a5201fac1fe3,China Glatt
104,Brooklyn,Borough Park,4c923ed551d9b1f7943c8746,China Xing
105,Brooklyn,Dyker Heights,4b1c3b4cf964a520bb0424e3,Grand Sichuan House
106,Brooklyn,Dyker Heights,4b512cbaf964a520f64527e3,ha ha chinese
107,Brooklyn,Dyker Heights,4a5beec3f964a52006bc1fe3,86 Noodles
108,Brooklyn,Marine Park,4b5a6114f964a52043c128e3,China New Star
109,Brooklyn,Clinton Hill,4a71ff01f964a52016da1fe3,Kum Kau
110,Brooklyn,Sea Gate,4bedc857e24d20a17afc7114,Oriental Palace
111,Brooklyn,Downtown,59da9590e1f0aa52976b8f35,Han Dynasty
112,Brooklyn,Downtown,5db3649a8d15ba00089b4e9b,Xi'an Famous Foods
113,Brooklyn,Downtown,585d72449f25836f2b2b7a1b,Xifu Food
114,Brooklyn,Boerum Hill,585d72449f25836f2b2b7a1b,Xifu Food
115,Brooklyn,Boerum Hill,59da9590e1f0aa52976b8f35,Han Dynasty
116,Brooklyn,Prospect Lefferts Gardens,4bfafc771134b713e48c0fc9,Green Lake Chinese Restaurant
117,Brooklyn,Ocean Hill,4d8151697c956dcb09cff27b,New Jin Shing Chinese Restuarant
118,Brooklyn,Ocean Hill,575d9a47498ee77302c0e52a,Egg Roll Chinese
119,Brooklyn,City Line,4cd4dd3e67adf04d8b102a91,Lee Good Taste
120,Brooklyn,City Line,4d0d0050f393224b4fda19ee,Yang Kee's Chinese Kitchen
121,Brooklyn,City Line,4f326c1a19836c91c7d64648,Wo Hop Chinese Restaurant
122,Brooklyn,Prospect Park South,4bfafc771134b713e48c0fc9,Green Lake Chinese Restaurant
123,Brooklyn,Georgetown,4ee01ae9f7903c92cd2e0c6a,ChinaTokyo
124,Brooklyn,Georgetown,4c8d0e7355fba093abe164ab,K1 Buffet
125,Brooklyn,Georgetown,4ba66e74f964a520c05139e3,Kam Fung Chinese Restautrant
126,Brooklyn,Georgetown,4e4ce4a1bd413c4cc66d03da,China Wok
127,Brooklyn,North Side,58df00318cfe546addb99246,Birds of a Feather
128,Brooklyn,South Side,58df00318cfe546addb99246,Birds of a Feather
129,Brooklyn,Fort Hamilton,4b512cbaf964a520f64527e3,ha ha chinese
130,Brooklyn,Fort Hamilton,4b1c3b4cf964a520bb0424e3,Grand Sichuan House
131,Brooklyn,Fort Hamilton,4a5beec3f964a52006bc1fe3,86 Noodles
132,Manhattan,Chinatown,4db3374590a0843f295fb69b,Spicy Village
133,Manhattan,Chinatown,5894c9a15e56b417cf79e553,Xi'an Famous Foods
134,Manhattan,Washington Heights,4b292f38f964a520939a24e3,Yang Garden
135,Manhattan,Washington Heights,4b8d55aef964a52050f532e3,Golden Star
136,Manhattan,Washington Heights,4b3fe94af964a520e2b125e3,No. 1 Chinese Restaurant
137,Manhattan,Inwood,4b9aeeedf964a52086e435e3,Lotus Express
138,Manhattan,Inwood,4bd5f4d229eb9c74c64594e1,"""U"" Like"
139,Manhattan,Hamilton Heights,54e52c00498ed1a732aa2037,The Handpulled Noodle
140,Manhattan,Hamilton Heights,4cd76fd7dfb4a1cd7195645c,King's Wok
141,Manhattan,Hamilton Heights,4bf348fce5eba593c8711e90,Crispy Bamboo Village
142,Manhattan,Manhattanville,5b4a97c16adbf5002ce288c2,Dun Huang
143,Manhattan,Manhattanville,4bf348fce5eba593c8711e90,Crispy Bamboo Village
144,Manhattan,Central Harlem,4bf348fce5eba593c8711e90,Crispy Bamboo Village
145,Manhattan,Central Harlem,4bd1f6909854d13a38a2fa4d,88 Chinese Restaurant
146,Manhattan,East Harlem,4ae650f0f964a52063a621e3,Steak and Hoagies
147,Manhattan,Upper West Side,5529bfd8498ec6ce692d8015,Han Dynasty
148,Manhattan,Clinton,4ea832fe8b8154b19ffa31ad,Hakkasan
149,Manhattan,Midtown,4e3484038877beb5e9a22a0b,Café China
150,Manhattan,Murray Hill,4e3484038877beb5e9a22a0b,Café China
151,Manhattan,Murray Hill,54b80565498e6d4f36168cd8,Xi'an Famous Foods
152,Manhattan,Chelsea,44e9b421f964a520a5371fe3,Buddakan
153,Manhattan,East Village,5647ee82498e8bfc0ddef53d,Málà Project
154,Manhattan,East Village,4c2a81398abca59393c8fe1f,Xi'an Famous Foods
155,Manhattan,Lower East Side,5b380f649deb7d00399fdf9d,Kings County Imperial
156,Manhattan,Tribeca,5237264111d27e8e90c10357,China Blue
157,Manhattan,Little Italy,5894c9a15e56b417cf79e553,Xi'an Famous Foods
158,Manhattan,West Village,526eeb54498e9674b5d9034a,Decoy
159,Manhattan,West Village,4e1df590b61c7cb34d9735a8,RedFarm
160,Manhattan,Manhattan Valley,529e3657498efb17e9c800b7,Xi'an Famous Foods
161,Manhattan,Manhattan Valley,59ac42570868a23a1e0fde8f,Red Hot
162,Manhattan,Manhattan Valley,58fbdc8fe0755067a6dcf3ee,108 Food- Dried Hot Pot
163,Manhattan,Manhattan Valley,5ba99889f05ca8003a126617,Atlas Kitchen
164,Manhattan,Morningside Heights,5ba99889f05ca8003a126617,Atlas Kitchen
165,Manhattan,Morningside Heights,58fbdc8fe0755067a6dcf3ee,108 Food- Dried Hot Pot
166,Manhattan,Morningside Heights,59ac42570868a23a1e0fde8f,Red Hot
167,Manhattan,Morningside Heights,5b4a97c16adbf5002ce288c2,Dun Huang
168,Manhattan,Gramercy,59035bc43d47912d4b97f3fc,Xi'an Famous Foods
169,Queens,Woodside,4ae1d8b2f964a520e78721e3,Peking BBQ Chicken
170,Queens,Woodside,5a466fc5610f0447488800e2,Xi’an Famous Foods Central Kitchen
171,Queens,Jackson Heights,4cd857c07bb06dcb7ef5a1b2,Mi Estrella
172,Queens,Elmhurst,56296f14498edb1ed77b64a3,Five Loaves and Two Fishes
173,Queens,Elmhurst,4eaf0752d3e30d448393b841,Lao Bei Fang
174,Queens,Elmhurst,4cd857c07bb06dcb7ef5a1b2,Mi Estrella
175,Queens,Elmhurst,59cfd6697564f73b6b943326,H.K. Taste
176,Queens,Howard Beach,4ba57b0af964a5205f0b39e3,Empire Buffet
177,Queens,Howard Beach,4bc8bd4f92b376b00f16523a,East Meets West
178,Queens,Corona,4e4cdcadbd413c4cc66cc2e9,Joy Siang
179,Queens,Forest Hills,4b68c90ff964a520da8c2be3,Great Wall Chinese Restaurant
180,Queens,Forest Hills,4bafed40f964a520152c3ce3,Grand Sichuan
181,Queens,Richmond Hill,4bd20e32046076b0491f7371,Bamboo Gardens
182,Queens,Richmond Hill,4c350ac6452620a1502b260f,New China Fresh
183,Queens,Flushing,5747a89b498ee4b7a5106556,DunHuang Lanzhou Beef Noodle
184,Queens,Flushing,52235ea211d2fe55782d764c,Dong Yi Feng
185,Queens,Flushing,4fa3f81be4b0a34ac673bf1e,Taipei Hong 台北夯
186,Queens,Flushing,4abfef82f964a520179320e3,New Imperial Palace 東湖
187,Queens,Flushing,4ef37491d3e32dc398c7c5c7,Laoma Mala Tang
188,Queens,Flushing,4faff7eae4b03b8055801cde,Xi'an Famous Foods
189,Queens,Flushing,4a1845c8f964a52092791fe3,Asian Jewels Seafood Restaurant 敦城海鲜酒家
190,Queens,Flushing,4ad50f59f964a520950121e3,Fu Run 賦潤東北美食
191,Queens,Flushing,4c78756397028cfaec16d8fe,New Golden Szechuan Chinese Restaurant
192,Queens,Flushing,4d1bcddc1356224bc6410abe,OK Ryan
193,Queens,Flushing,5990ab0a826444188d18dabc,Szechuan House
194,Queens,Flushing,4ac38216f964a520929b20e3,Golden Shopping Mall
195,Queens,Flushing,4ccf3d177f56a1430d3fc6a6,Henan Feng Wei 河南風味
196,Queens,Flushing,4e026cd7fa76007240170736,Lan Zhou Hand Made Noodle
197,Queens,Flushing,55a04fb7498e18131da5d46e,Shun Won Flushing Chinese Restaurant
198,Queens,Sunnyside,4b4a7016f964a520a18726e3,Ten Full Chinese
199,Queens,Sunnyside,4aece833f964a52024cc21e3,Tangra Fusion
200,Queens,East Elmhurst,4ca8cfbb76d3a09320b4196b,King's Garden
201,Queens,Maspeth,4d586ba98147f04db338a254,Yeun Wah Takeout
202,Queens,Maspeth,4f6fa232e4b0a235d8a92406,Zheng Good Taste
203,Queens,Maspeth,57560bce498e24587b8de0d9,Moon Palace Kitchen
204,Queens,Ridgewood,4ba25cdff964a52051f137e3,Mr Chen
205,Queens,Ridgewood,4c703259d97fa1434b58f5ca,Randy's Restaurant
206,Queens,Glendale,4c699cc40e98a593d9eb2459,Sweet Rice
207,Queens,Glendale,4bd9fe963904a5939194449e,King Wok
208,Queens,Rego Park,56316c73498ebdd0e0e53e95,Green Zenphony
209,Queens,Rego Park,4bafed40f964a520152c3ce3,Grand Sichuan
210,Queens,Rego Park,4edac00e0aaf49e02a0e2f73,Tasty & Co
